Date,Open,High,Low,Close,Adj Close,Volume
2/15/2019,137.580002,138.190002,137.389999,138.029999,138.029999,3844100
2/19/2019,137.809998,138.699997,137.360001,138.699997,138.699997,3385700
2/20/2019,138.759995,139.240005,137.220001,138,138,3802000
2/21/2019,137.820007,138.350006,137.350006,137.839996,137.839996,2937300
2/22/2019,138.729996,139.380005,138.429993,139.25,139.25,3113700
2/25/2019,140,140.470001,139.320007,139.460007,139.460007,3194200
2/26/2019,139.669998,140.490005,139.470001,139.720001,139.720001,3060400
2/27/2019,139.25,139.570007,138.399994,139.169998,139.169998,2530900
2/28/2019,138.770004,139.059998,137.720001,138.130005,138.130005,3457800
3/1/2019,139.309998,140.039993,138.639999,139.199997,139.199997,3030000
3/4/2019,139.990005,140.080002,137.169998,138.429993,138.429993,3406900
3/5/2019,138.369995,138.740005,137.559998,137.880005,137.880005,4250300
3/6/2019,138.119995,138.389999,136.720001,136.979996,136.979996,2768300
3/7/2019,136.610001,136.889999,134.630005,135.360001,135.360001,4358300
3/8/2019,134.210007,135.240005,133.580002,135.089996,135.089996,3773600
3/11/2019,136.029999,137.729996,135.839996,137.710007,137.710007,3939300
3/12/2019,138.520004,139.699997,137.860001,138.279999,138.279999,3954700
3/13/2019,138.050003,139.320007,137.850006,138.559998,138.559998,3173200
3/14/2019,138.509995,138.940002,138.059998,138.789993,138.789993,2738600
3/15/2019,139.369995,140.330002,139.229996,139.429993,139.429993,7153700
3/18/2019,139.830002,140.369995,138.720001,140.210007,140.210007,3268500
3/19/2019,140.960007,141.699997,140,140.490005,140.490005,3482300
3/20/2019,140.529999,140.699997,138.979996,139.600006,139.600006,3649500
3/21/2019,139.100006,142.119995,138.880005,141.440002,141.440002,3605400
3/22/2019,140.970001,141.440002,138.899994,139.449997,139.449997,3877200
3/25/2019,139.059998,139.910004,138.350006,139.179993,139.179993,2839800
3/26/2019,139.929993,141.020004,139.419998,140.220001,140.220001,2553700
3/27/2019,140.410004,140.490005,138.399994,139.240005,139.240005,3098200
3/28/2019,139.910004,140.440002,139.100006,139.919998,139.919998,2663900
3/29/2019,140.5,141.220001,140.149994,141.100006,141.100006,3101400
4/1/2019,141.509995,143.410004,141.509995,143.300003,143.300003,3984300
4/2/2019,143.350006,143.949997,142.600006,143,143,2404800
4/3/2019,143.649994,144.220001,143.009995,143.630005,143.630005,2681200
4/4/2019,143.619995,144.139999,142.539993,142.779999,142.779999,2771100
4/5/2019,143.289993,143.5,142.460007,143.279999,143.279999,2731800
4/8/2019,143.020004,143.419998,142.869995,143.389999,143.389999,2118200
4/9/2019,142.660004,142.949997,141.839996,142.110001,142.110001,3038500
4/10/2019,142.199997,143.5,141.979996,143.020004,143.020004,2678000
4/11/2019,143.800003,144.110001,143.029999,143.779999,143.779999,2942000
4/12/2019,144.259995,144.440002,143.699997,144.350006,144.350006,2898900
4/15/2019,144.399994,144.460007,143.270004,143.899994,143.899994,3603200
4/16/2019,144.399994,145.389999,144.020004,145.139999,145.139999,6301700
4/17/2019,137.369995,141.979996,136.259995,139.110001,139.110001,12525700
4/18/2019,139,140.490005,138.699997,140.330002,140.330002,4960000
4/22/2019,139.42,140.56,138.48,138.89,138.89,3674934
