,NewsContent,author,publishedDate,title
0,"SiriusXM    wants to cater consumers without cars, or cars without compatible   stereos, with a new $8 plan for mobile and in-home listening.   Dubbed   SiriusXM    Essential, the plan offers access to 200+ channels featuring the   network's entire music programming, as well comedy, news and   select sports channels. Consumers will be able to   test the new plan    for just $1 for 3 months. Not included in the offer are Howard Stern's channels, as well   as NBA, NHL and NCAA channels. SiriusXM is making that   programming available for in-home and mobile listening via its   Premier Streaming plan, which will be priced $13 per month   starting in mid-May. SiriusXM vice president of marketing Matt Epstein said that   the new $8 plan was part of an effort to attract younger   audiences. ""They don't spend a long time driving to make it   worthwhile,"" he told   Variety    . Many younger listeners didn't own cars, and possibly never had   any exposure to the service. ""A lot of people just don't know   about it.""makeArticleAd(); Another key factor for the launch of the Essential plan was   the growing use of smart speakers, explained Epstein: ""Over the   past year, we have seen a massive increase in in-home listening.""   Engagement on Alexa-powered speakers doubled after SiriusXM began   a promotion with Amazon, and smart speaker listening as a whole   was up 60% year-over-year, he said. Some of the listeners SiriusXM is now targeting may already   use Pandora, which the company acquired for $3.5 billion last   year. That deal closed in February, and Epstein didn't want to   comment on any possible bundeling of the two services beyond   already-announced podcast syndication plans. Asked whether   Pandora and SiriusXM now compete for mobile and in-home   listeners, he said: ""We view the 2 services as completely   complementary.""  Related stories  Nashville City Council Sides With Songwriters       Against Streamers' CRB Appeal   SiriusXM Pushes 22 Podcasts to Pandora,       Including From Ricky Gervais, Kevin Hart SiriusXM    wants to cater consumers without cars, or cars without compatible   stereos, with a new $8 plan for mobile and in-home listening.   Dubbed   SiriusXM    Essential, the plan offers access to 200+ channels featuring the   network's entire music programming, as well comedy, news and   select sports channels. Consumers will be able to   test the new plan    for just $1 for 3 months. Not included in the offer are Howard Stern's channels, as well   as NBA, NHL and NCAA channels. SiriusXM is making that   programming available for in-home and mobile listening via its   Premier Streaming plan, which will be priced $13 per month   starting in mid-May. SiriusXM vice president of marketing Matt Epstein said that   the new $8 plan was part of an effort to attract younger   audiences. ""They don't spend a long time driving to make it   worthwhile,"" he told   Variety    . Many younger listeners didn't own cars, and possibly never had   any exposure to the service. ""A lot of people just don't know   about it."" Another key factor for the launch of the Essential plan was   the growing use of smart speakers, explained Epstein: ""Over the   past year, we have seen a massive increase in in-home listening.""   Engagement on Alexa-powered speakers doubled after SiriusXM began   a promotion with Amazon, and smart speaker listening as a whole   was up 60% year-over-year, he said. Some of the listeners SiriusXM is now targeting may already   use Pandora, which the company acquired for $3.5 billion last   year. That deal closed in February, and Epstein didn't want to   comment on any possible bundeling of the two services beyond   already-announced podcast syndication plans. Asked whether   Pandora and SiriusXM now compete for mobile and in-home   listeners, he said: ""We view the 2 services as completely   complementary."" Related stories  Nashville City Council Sides With Songwriters       Against Streamers' CRB Appeal   SiriusXM Pushes 22 Podcasts to Pandora,       Including From Ricky Gervais, Kevin Hart Related stories Nashville City Council Sides With Songwriters       Against Streamers' CRB Appeal SiriusXM Pushes 22 Podcasts to Pandora,       Including From Ricky Gervais, Kevin Hart",Variety,"April 19, 2019, 08:20:49 PM EDT",SiriusXM Unveils $8 Essential Plan for Consumers Without Cars
1,"Netflix    is testing a button to play random episodes of select TV shows,   the company confirmed Friday morning. ""We are testing the ability   for members to play a random episode from different TV series on   the Android mobile app,"" a   Netflix    spokesperson told   Variety    . ""These tests typically vary in length of time and by region,   and may not become permanent."" Some of the shows the button is being tested on include ""The   Office,"" ""Our Planet,"" ""Arrested Development,"" and ""New Girl,""   according to Android Police    , which firs   t report    ed on the test this week. Users that are part of the test get to   see a button to play a random episode within the Netflix video   player, and the app is apparently also offering users the ability   to ""play a popular episode"" right from the main menu. Netflix vice president of product Todd Yellin suggested that   the company was going to test different approaches towards   playing individual episodes of some shows during a recent press   event in Los Angeles. ""How about anthologies? How about something   like 'Chef's Table'?"" Yellin   told journalists at the event last month    . ""You don't have to watch it in the order that we tell you   to.""makeArticleAd(); The video service regularly tests new features with a subset   of its audience, and then compares the results to metrics from   members without access to the new feature. The company runs   numerous such tests at any given time, and only ever implements a   small sub-section of features tested this way. Earlier this week, Netflix revealed in its earnings report   that   it will also soon test Top 10 lists with a   subsection of its audience    . Those lists will initially just be available to some members in   the U.K., but Netflix chief product officer Greg Peters suggested   that the company had high expectations for those kinds of lists,   saying: ""We are quite bullish on that, and we'll see how it   does.""  Related stories  Inside the Music of Netflix's 'Ingress: The       Animation' (EXCLUSIVE)   Netflix's 'Our Planet' Roars to Life With       Work by Top Wildlife Cinematographers Netflix    is testing a button to play random episodes of select TV shows,   the company confirmed Friday morning. ""We are testing the ability   for members to play a random episode from different TV series on   the Android mobile app,"" a   Netflix    spokesperson told   Variety    . ""These tests typically vary in length of time and by region,   and may not become permanent."" Some of the shows the button is being tested on include ""The   Office,"" ""Our Planet,"" ""Arrested Development,"" and ""New Girl,""   according to Android Police    , which firs   t report    ed on the test this week. Users that are part of the test get to   see a button to play a random episode within the Netflix video   player, and the app is apparently also offering users the ability   to ""play a popular episode"" right from the main menu. Netflix vice president of product Todd Yellin suggested that   the company was going to test different approaches towards   playing individual episodes of some shows during a recent press   event in Los Angeles. ""How about anthologies? How about something   like 'Chef's Table'?"" Yellin   told journalists at the event last month    . ""You don't have to watch it in the order that we tell you   to."" The video service regularly tests new features with a subset   of its audience, and then compares the results to metrics from   members without access to the new feature. The company runs   numerous such tests at any given time, and only ever implements a   small sub-section of features tested this way. Earlier this week, Netflix revealed in its earnings report   that   it will also soon test Top 10 lists with a   subsection of its audience    . Those lists will initially just be available to some members in   the U.K., but Netflix chief product officer Greg Peters suggested   that the company had high expectations for those kinds of lists,   saying: ""We are quite bullish on that, and we'll see how it   does."" Related stories  Inside the Music of Netflix's 'Ingress: The       Animation' (EXCLUSIVE)   Netflix's 'Our Planet' Roars to Life With       Work by Top Wildlife Cinematographers Related stories Inside the Music of Netflix's 'Ingress: The       Animation' (EXCLUSIVE) Netflix's 'Our Planet' Roars to Life With       Work by Top Wildlife Cinematographers",Variety,"April 19, 2019, 01:01:26 PM EDT",Netflix Starts Testing Random Episode Button
2," April 19 (Reuters) - Nissan Motor Co Ltd  said on Friday a report by the Nikkei that it would slash production this year was ""completely incorrect"" and that it had lodged a complaint with the business daily, in an unusually strong denial of a media report in Japan. The comment came after the Nikkei, revered in Japan for its business news and known for its market-moving scoops and previews, said Nissan would cut its global production by about 15 percent for the current fiscal year ending March 2020. The move would mark a shift away from the aggressive expansion campaign promoted by ousted former Chairman Carlos Ghosn, the Nikkei said. ""Nissan's production plan for the current fiscal year will be disclosed on May 14, when the company announces its financial results for the previous fiscal year,"" said the maker of the Rogue sport-utility vehicle and Altima sedan. The Nikkei, which also owns Britain'sFinancial Times newspaper, confirmed it had received the complaint from Nissan. It said it would continue to cover the issue and promptly report all the facts once they become clear. The newspaper had earlier reported that Nissan aimed to produce about 4.6 million units in fiscal 2019, citing plans being communicated to the automaker's suppliers. The move was likely to impact earnings and could cast a pall over Nissan's alliance with French automaker Renault SA , the Nikkei said without elaborating. That would be the steepest production cut in more than a decade by the Japanese automaker, as it battles weak sales in overseas markets including the United States where it plans to scale back sales operations, according to the Nikkei. Earlier this year, Nissan, which has been battling falling sales, lowered its operating profit forecast for the current fiscal year to 450 billion yen ($4 billion), 22 percent lower than a year earlier. It would be Nissan's lowest profit since 2013. Japanese companies typically respond to media reports by saying they were not the source of the information and, depending on the content of the report, that they may be considering various options and that nothing had been decided. It is rare for a Japanese firm to say it has issued a strong rebuke to a media outlet. Shares in Nissan, mired in a financial misconduct scandal involving Ghosn and the company itself, closed down 2.2 percent on Friday, versus a 0.5 percent rise in the broader market .",,"April 19, 2019, 03:20:00 AM EDT",Nissan slams output cut report as 'completely incorrect'
3," April 19 (Reuters) - Nissan Motor Co Ltd  will cut global production by about 15 percent for the current fiscal year ending March 2020, as it shifts away from the aggressive expansion campaign promoted by former Chairman Carlos Ghosn, the Nikkei newspaper reported on Friday. That would be the steepest production cut in more than a decade by the Japanese automaker, as it battles weak sales in overseas markets including the United States where it plans to scale back sales operations, the Nikkei. Nissan aims to produce about 4.6 million units in fiscal 2019, the Nikkei said, citing plans being communicated to the automaker's suppliers. The move is likely to impact earnings and could cast a pall over Nissan's alliance with French automaker Renault SA , the Nikkei reported, without elaborating. Earlier this year, Nissan, which has been battling falling sales, lowered its operating profit forecast for the current fiscal year to 450 billion yen ($4 billion), 22 percent lower than a year earlier. It would be Nissan's lowest profit since 2013. Nissan was not immediately available for comment when contacted by Reuters. Shares in Nissan, mired in a financial misconduct scandal involving Ghosn and the company itself, were trading down 1.2 percent early on Friday, versus a 0.6 percent rise in the broader market .",,"April 18, 2019, 10:10:00 PM EDT",Nissan to cut global production by 15 percent
4," By Hyunjoo Jin and Sanjana  Shivdas SEOUL, April 19 (Reuters) - Hyundai Motor Co  has appointed Jose Munoz as global chief operating officer and Americas chief, tapping a man formerly considered an ally and potential successor of Nissan Motor Co Ltd's  ousted Chairman Carlos Ghosn. Munoz is the latest foreign executive to be brought in to a South Korean automaker dominated by lifelong loyalists, as heir-apparent Euisun Chung strengthens control of the conglomerate chaired by his aging father. It also comes as Munoz's former boss at Nissan sits in a Tokyo jail awaiting trial for financial misconduct. The November arrest of Ghosn, who denies wrongdoing, prompted an internal investigation into corporate governance at the Japanese automaker in which Munoz was cited as a ""person of interest"". Munoz resigned in January, saying Nissan was involved in matters that would divert its focus and that he looked forward to continuing to assist with investigations. At the time, he was Nissan'sChina head and chief performance officer - responsible for Nissan's results and global strategies - having previously overseen operations in North America. At his new employer, Munoz will succeed William Lee, who has led Hyundai's North America business since June. On May 1, he will effectively assume two newly created roles: Global Chief Operating Officer and Head of Hyundai Motor Americas Region. ""(Munoz's) focus will be to deliver profitable growth and to improve overall performance of Hyundai Motor,"" the automaker said in a statement issued on Thursday in the United States. He will be based in California and report to ""top leadership"" in Seoul, Hyundai said.  OUTSIDERS Since the promotion last year of Euisun Chung, the 48-year-old Hyundai Motor Group scion has in turn promoted executives brought in from Samsung Electronics Co Ltd  and automakers including Germany'sBMW AG . ""Hyundai needs to change, but it is changing too fast, which could lead to internal conflicts and communication problems,"" said Lee Hang-koo, a senior research fellow at the Korea Institute for Industrial Economics & Trade. ""If the Ghosn scandal is not resolved well, the appointment could adversely affect the company's image and lead to doubts about Chung's personnel management capability,"" he said. Munoz, 53, joined Nissan in 2004 in Europe and led its expansion in North America after the global financial crisis. Nissan raised its U.S. market share under Munoz and posted record sales, though sales have since weakened. Hyundai, meanwhile, was an outperformer during the 2009 global economic downturn but has seen its U.S. market share slip in recent years, in part due to its delayed response to the growing popularity of sport utility vehicles.",,"April 18, 2019, 09:20:00 PM EDT","Hyundai hires former Ghosn ally Munoz as global COO, Americas head"
5," By Heather Somerville SAN FRANCISCO, April 18 (Reuters) - Uber's autonomous vehicle unit has raised $1 billion from a consortium of investors including SoftBank Group Corp , giving the company a much-needed funding boost for its pricey self-driving ambitions on the eve of its public stock offering. Uber Technologies Inc  said on Thursday that the investment valued its Advanced Technologies Group, which works to develop autonomous driving technology, at $7.25 billion. SoftBank will invest $333 million from its $100 billionVision Fund, while Toyota Motor Corp and automotive company Denso Corp will combined invest $667 million. The funding allows Uber to transfer some of the substantial cost of developing self-driving cars onto outside investors. That is likely to appease some investor concerns over Uber's spending on the autonomous unit, which has topped $1 billion since the program started in 2016. The business unit brings in no meaningful revenue for Uber, which last year lost $3.03 billion. The company is not even offering free rides in the robot cars to passengers, like some of its rivals are, following a fatal crash last year in Arizona involving an Uber self-driving SUV. Uber released its IPO filing this month and is preparing to launch is ""roadshow,"" when it will pitch its company prospective investors, the week of April 29, setting up for an early May debut on the New York Stock Exchange. Uber is expected to raise $10 billion at a $90 billion to $100 billion valuation, at least an 18 percent jump from its current $76 billion valuation. As part of the deal, ATG becomes its own legal entity but remains under the control of Uber with its financial performance folded into Uber's. A new ATG board will be formed, with six seats from Uber, one from SoftBank and one from Toyota. Eric Meyhofer, currently the head of ATG, will take the title of CEO and report to the new board. Such sizeable deals are unusual for companies so close to an IPO, because bringing in large new investors changes the company's capital structure. The deal, however, will almost certainly require approval from the inter-agency regulatory group called the Committee on Foreign Investment in the United States (CFIUS). A law enacted last year expands that group's powers to review minority stakes by foreign investors in startups with certain sensitive technologies, and self-driving technology is widely considered to have defense applications.",,"April 18, 2019, 08:30:00 PM EDT","Uber lands $1 billion from SoftBank, Toyota for self-driving unit"
6," April 18 (Reuters) - American Media Inc (AMI)  said on Thursday it was selling its National Enquirer tabloid to James Cohen, whose family owns a magazine distributor and used to own the Hudson chain of airport newsstands. The National Enquirer had admitted to paying hush money to help U.S. President Donald Trump get elected and been accused of attempting to blackmail Amazon founder Jeff Bezos. The weekly tabloid, along with two of its sister publications, will be purchased by Cohen. The Washington Post reported the sale was for $100 million. The companies did not respond to Reuters' request for comment on the price. The deal comes a week after AMI said it was looking at ""strategic options"" for the National Enquirer as well as for the Globe and National Examiner brands. The sale is expected to reduce AMI's debt to $355 million. Last week, the New York Times reported that owners of the National Enquirer were in talks to sell the tabloid to  California-based billionaire Ronald Burkle. Paul Pope, one of the heirs of the National Enquirer founder, Generoso Pope Jr., had also been in the list of bidders, according to media reports. On Tuesday, Pope dropped his bid to buy the supermarket tabloid from American Media, the New York Post reported. Over its 92-year history, the National Enquirer has enticed readers in supermarket checkout lines with sensational headlines and photos about celebrities. The tabloid's website says it has an audience of 5 million.",,"April 18, 2019, 08:28:00 PM EDT",National Enquirer to be sold to owner of magazine distributor
7," April 18 (Reuters) - Vornado Realty Trust  on Thursday sold a stake in a portfolio of prime New York retail properties along Fifth Avenue and Broadway in Times Square for about $1.2 billion in cash in a deal in which it retains majority control of the assets. The transaction created a joint venture with unnamed institutional investors that valued the portfolio of seven retail sites and other assets at $5.56 billion, said Vornado, a real estate investment trust, said in a statement. The retail assets are among the scarcest and most valuable in the world, Vornado Chairman Steve Roth said in the statement. How the cash proceeds will be used was not disclosed. Vornado spokeswoman Wendi Kopsick did not immediately respond to a request for comment. Two weeks ago Vornado said that $1.04 billion in proceeds from the sale of condos at 220 Central Park South will provide capital for its massive redevelopment of two office towers above Penn Station and a portion of the nearby Farley Post Office.",,"April 18, 2019, 07:49:00 PM EDT",Vornado sells stake in New York retail venture for $1.2 bln
8," FRANKFURT, April 19 (Reuters) - Germany's markets regulator Bafin on Friday said its two-month ban on short-selling shares of payments company Wirecard  had expired. In February, Bafin initiated the ban due to volatility in Wirecard's stock following reports in the Financial Times that became the subject of an investigation by German authorities. Wirecard has denied wrongdoing and the FT has stood by its reporting. Earlier this week, Bafin filed a complaint with the Munich Prosecutor's Office alleging market manipulation in the shares of Wirecard.",,"April 18, 2019, 06:29:00 PM EDT",German market regulator lifts short sale ban on Wirecard
9," April 18 (Reuters) - A lower dose of non-opioid painkiller developed by Pfizer Inc  and Eli Lilly and Co  failed to meet main goals in a late-stage study in patients with moderate-to-severe osteoarthritis of the hip or knee, the companies said on Thursday. The drug, tanezumab, belongs to a new category of pain medications that target nerve growth factor, a protein involved in the growth of nerve cells, and has been touted as a potential blockbuster. The study tested the treatment in two doses, 2.5 mg and 5 mg, comparing the long-term joint safety and effectiveness at the end of 16 weeks with painkillers that are normally prescribed to patients. There were 10 deaths in the study, of which nine occurred in a group of patients who were given tanezumab. None were considered treatment-related, the companies said.",,"April 18, 2019, 06:14:00 PM EDT",Lower dose of Pfizer-Lilly painkiller misses main goals in late stage study
